	$t$(s)	$q$ = 3.450	$q$ = 3.476	$q$ = 3.503	$q$ = 3.530	$q$ = 3.557
0	1e-06	1.9278318370271348e-17	1.9290448209132173e-17	1.9302403924664592e-17	1.9314187861563402e-17	1.9325802337624928e-17
1	1.577386658866742e-06	1.9278318370271348e-17	1.9290448209132167e-17	1.9302403924664592e-17	1.9314187861563396e-17	1.932580233762492e-17
2	2.4881486715707884e-06	1.9278318370271348e-17	1.9290448209132177e-17	1.9302403924664592e-17	1.931418786156339e-17	1.9325802337624922e-17
3	3.924772519812769e-06	1.9278318370271348e-17	1.929044820913217e-17	1.9302403924664592e-17	1.9314187861563396e-17	1.9325802337624925e-17
4	6.1908838118394665e-06	1.9278318370271348e-17	1.9290448209132177e-17	1.9302403924664598e-17	1.9314187861563396e-17	1.9325802337624925e-17
5	9.765417531389677e-06	1.9278318370271348e-17	1.9290448209132173e-17	1.9302403924664595e-17	1.93141878615634e-17	1.9325802337624922e-17
6	1.540383933227747e-05	1.9278318370271345e-17	1.929044820913218e-17	1.9302403924664586e-17	1.93141878615634e-17	1.9325802337624922e-17
7	2.4297810658061313e-05	1.9278318370271348e-17	1.9290448209132173e-17	1.9302403924664595e-17	1.9314187861563393e-17	1.9325802337624922e-17
8	3.8327042371696044e-05	1.9278318370271348e-17	1.9290448209132177e-17	1.930240392466459e-17	1.9314187861563402e-17	1.9325802337624928e-17
9	6.0456565310933676e-05	1.927831837027135e-17	1.9290448209132177e-17	1.9302403924664586e-17	1.93141878615634e-17	1.932580233762492e-17
10	9.536337956237283e-05	1.9278318370271348e-17	1.929044820913218e-17	1.9302403924664592e-17	1.9314187861563396e-17	1.9325802337624922e-17
11	0.00015042492266613224	1.9278318370271348e-17	1.9290448209132177e-17	1.930240392466459e-17	1.9314187861563396e-17	1.9325802337624922e-17
12	0.00023727826617461837	1.9278318370271348e-17	1.9290448209132173e-17	1.930240392466459e-17	1.9314187861563396e-17	1.9325802337624916e-17
13	0.0003742795715028752	1.9278318370271354e-17	1.929044820913218e-17	1.9302403924664595e-17	1.93141878615634e-17	1.9325802337624928e-17
14	0.0005903836027749967	-1.4545237977761517e-16	-4.9039270443749377e-17	-5.2187655149405775e-17	-8.057090179760651e-18	-4.4639500625046284e-17
15	0.0009312632186309618	-4.347323645954855e-16	-4.0201926891976623e-16	-3.6497258224945494e-16	-3.42798973026052e-16	-3.1613732185015353e-16
16	0.0014689621769617823	-1.78243176555704e-15	-1.631338624876733e-15	-1.500173421816924e-15	-1.3902852211084072e-15	-1.2803097603379718e-15
17	0.0023171213403193644	-7.0291390113264316e-15	-6.463935963567402e-15	-5.9437648799397634e-15	-5.470619564813577e-15	-5.038914170624934e-15
18	0.003654996289195189	-2.7595826982597836e-14	-2.5397146724115873e-14	-2.3367484793785998e-14	-2.1507242153643238e-14	-1.9786565514762314e-14
19	0.005765342384783946	-1.083941747906663e-13	-9.96832399794596e-14	-9.172663316494324e-14	-8.44291662597473e-14	-7.768532706403205e-14
20	0.009094174161557172	-4.254796494738987e-13	-3.91334520576246e-13	-3.600400198086098e-13	-3.313272408460375e-13	-3.049918610042402e-13
21	0.014345028995850922	-1.6699111097136554e-12	-1.5359556323789852e-12	-1.4131258307163446e-12	-1.3004279404423307e-12	-1.1970378041697802e-12
22	0.022627657359111864	-6.554087347968901e-12	-6.028337435892877e-12	-5.546216013426879e-12	-5.103944372675604e-12	-4.6981071580117184e-12
